Entity,Year,Production - Total,Exports - Total,Sales - Total,Production - Cars,Exports - Cars,Sales - Cars,Production - Other Vehicles,Exports - Other Vehicles,Sales - Other Vehicles,Sales to domestic market - Total,Sales to domestic market - National vehicles,Sales to domestic market - Imported vehicles,Sales - Cars - sa,Sales - Cars - sa MoM,Sales - Cars - current_prices_yoy,Sales - Total - sa,Sales - Total - sa MoM,Sales - Total - current_prices_yoy,Exports - Cars - sa,Exports - Cars - sa MoM,Exports - Cars - current_prices_yoy,Exports - Total - sa,Exports - Total - sa MoM,Exports - Total - current_prices_yoy,Production - Cars - sa,Production - Cars - sa MoM,Production - Cars - current_prices_yoy,Production - Total - sa,Production - Total - sa MoM,Production - Total - current_prices_yoy,Sales - Other Vehicles - sa,Sales - Other Vehicles - sa MoM,Sales - Other Vehicles - current_prices_yoy,Exports - Other Vehicles - sa,Exports - Other Vehicles - sa MoM,Exports - Other Vehicles - current_prices_yoy,Production - Other Vehicles - sa,Production - Other Vehicles - sa MoM,Production - Other Vehicles - current_prices_yoy,Sales to domestic market - Total - sa,Sales to domestic market - Total - sa MoM,Sales to domestic market - Total - current_prices_yoy,Sales to domestic market - Imported vehicles - sa,Sales to domestic market - Imported vehicles - sa MoM,Sales to domestic market - Imported vehicles - current_prices_yoy,Sales to domestic market - National vehicles - sa,Sales to domestic market - National vehicles - sa MoM,Sales to domestic market - National vehicles - current_prices_yoy,Sales - Cars - current_prices_3m_yoy,Sales - Total - current_prices_3m_yoy,Exports - Cars - current_prices_3m_yoy,Exports - Total - current_prices_3m_yoy,Production - Cars - current_prices_3m_yoy,Production - Total - current_prices_3m_yoy,Sales - Other Vehicles - current_prices_3m_yoy,Exports - Other Vehicles - current_prices_3m_yoy,Production - Other Vehicles - current_prices_3m_yoy,Sales to domestic market - Total - current_prices_3m_yoy,Sales to domestic market - Imported vehicles - current_prices_3m_yoy,Sales to domestic market - National vehicles - current_prices_3m_yoy
Argentina,2004-01-01,11725,4875,20870,7495,3275,16205,4230,1600,4665,22134,7310,14824,13673.4393,,,18828.1325,,,8240.2961,,,14642.3396,,,15780.7518,,,25142.0355,,,4933.2372,,,5906.8356,,,11443.7709,,,20005.2169,,,12981.9617,,,7670.0055,,,,,,,,,,,,,,
Argentina,2004-02-01,12963,9806,19101,9197,6124,14024,3766,3682,5077,20318,6441,13877,14804.598,8.2725,,20603.8301,9.4311,,8461.6095,2.6857,,13506.6233,-7.7564,,15788.9303,0.0518,,23583.2714,-6.2,,5734.8616,16.2495,,5031.1989,-14.8241,,4819.7149,-57.8835,,22049.4829,10.2187,,14204.1951,9.4148,,8888.4744,15.8862,,,,,,,,,,,,,
Argentina,2004-03-01,20742,9998,23527,14655,6896,17259,6087,3102,6268,24887,9539,15348,15431.475,4.2346,,21596.0541,4.8158,,7509.3663,-11.2537,,9816.545,-27.3205,,13392.4692,-15.1781,,18580.4874,-21.2133,,6058.6683,5.6463,,2398.3609,-52.3302,,4726.1739,-1.9408,,22912.0491,3.912,,14289.2507,0.5988,,8346.2889,-6.0999,,,,,,,,,,,,,
Argentina,2004-04-01,19266,10461,23454,13368,7461,17805,5898,3000,5649,24936,9620,15316,17237.9359,11.7063,,22936.9491,6.209,,7792.2847,3.7675,,10409.9919,6.0454,,13659.1107,1.991,,18881.0513,1.6177,,5636.112,-6.9744,,3044.7771,26.9524,,4997.5499,5.742,,24302.099,6.0669,,14981.3375,4.8434,,9002.3528,7.8605,,,,,,,,,,,,,
Argentina,2004-05-01,20075,10324,26494,13483,7473,20053,6592,2851,6441,27829,9559,18270,19310.1389,12.0212,,25800.5524,12.4847,,8567.0996,9.9434,,11127.8153,6.8955,,13571.7896,-0.6393,,19851.4853,5.1397,,6422.8906,13.9596,,2669.5067,-12.3251,,6288.2147,25.826,,27173.3516,11.8148,,17826.6809,18.9926,,9003.3308,0.0109,,,,,,,,,,,,,
Argentina,2004-06-01,20833,7565,26251,14376,5065,19818,6457,2500,6433,27702,9404,18298,19243.6353,-0.3444,,25557.598,-0.9417,,5670.2741,-33.8134,,8047.1233,-27.6846,,13407.3675,-1.2115,,19117.6559,-3.6966,,6295.1403,-1.989,,2461.3308,-7.7983,,5901.2346,-6.1541,,27122.1197,-0.1885,,17849.1616,0.1261,,8926.0151,-0.8587,,,,,,,,,,,,,
Argentina,2004-07-01,19679,11823,25372,13190,7807,19153,6489,4016,6219,27169,8847,18322,20397.9027,5.9982,,26327.8539,3.0135,,7000.2549,23.4553,,10555.8827,31.1759,,12624.8313,-5.8366,,18565.4371,-2.8885,,6039.7164,-4.0575,,3259.137,32.4136,,6232.8524,5.6195,,28053.5292,3.4341,,18739.7359,4.9894,,9051.3694,1.4044,,,,,,,,,,,,,
Argentina,2004-08-01,22035,11229,26611,15715,7887,19672,6320,3342,6939,28192,10410,17782,19153.0956,-6.1034,,24590.6214,-6.5982,,6074.1708,-13.2293,,9084.3123,-13.9408,,12799.6867,1.385,,17795.0279,-4.1497,,6210.5707,2.8288,,2899.6969,-11.0287,,5312.2657,-14.7699,,25967.8825,-7.4345,,16971.1413,-9.4377,,9827.2556,8.572,,,,,,,,,,,,,
Argentina,2004-09-01,24277,13850,25667,17634,10137,19548,6643,3713,6119,27170,9770,17400,19785.4598,3.3024,,25858.3117,5.1551,,8191.4225,34.8566,,11494.6711,26.5332,,14747.155,15.215,,19705.9764,10.7387,,6059.9612,-2.4251,,3338.3616,15.128,,5234.286,-1.4679,,27253.7869,4.9519,,17391.7778,2.4785,,9484.6539,-3.4862,,,,,,,,,,,,,
Argentina,2004-10-01,24017,15217,24981,16774,10178,19244,7243,5039,5737,26363,8777,17586,19473.0436,-1.5792,,25314.876,-2.1016,,6994.3997,-14.6131,,10726.9972,-6.6785,,13708.8361,-7.0408,,19882.7872,0.8972,,5718.5846,-5.6333,,3798.4065,13.7806,,6330.507,20.9431,,26855.199,-1.4625,,16906.3214,-2.7913,,9421.4819,-0.666,,,,,,,,,,,,,
