Date,Exit rate,Turnover rate,Entry rate
"Sep 1, 2001",2.4457,1.9751,1.5046
"Oct 1, 2001",2.347,2.0063,1.6655
"Nov 1, 2001",2.4014,2.1634,1.9255
"Dec 1, 2001",2.7679,2.1622,1.5566
"Jan 1, 2002",3.0611,2.2068,1.3526
"Feb 1, 2002",2.4174,1.7757,1.134
"Mar 1, 2002",2.4651,1.9599,1.4547
"Apr 1, 2002",2.1187,1.7003,1.282
"May 1, 2002",2.0221,1.5992,1.1763
"Jun 1, 2002",1.562,1.2616,0.9613
"Jul 1, 2002",1.8596,1.6521,1.4445
"Aug 1, 2002",1.4903,1.3771,1.2639
"Sep 1, 2002",1.491,1.3354,1.1797
"Oct 1, 2002",1.2871,1.4064,1.5256
"Nov 1, 2002",1.5311,1.6666,1.802
"Dec 1, 2002",1.6265,1.8047,1.9829
"Jan 1, 2003",2.3523,2.4032,2.454
"Feb 1, 2003",1.7438,1.8118,1.8797
"Mar 1, 2003",2.0508,2.2559,2.4611
"Apr 1, 2003",1.8298,1.9151,2.0005
"May 1, 2003",1.9798,2.0895,2.1993
"Jun 1, 2003",2.685,2.7762,2.8675
"Jul 1, 2003",1.6,2.019,2.4379
"Aug 1, 2003",1.595,1.7951,1.9951
"Sep 1, 2003",1.6171,2.0433,2.4696
"Oct 1, 2003",1.8492,2.1608,2.4724
"Nov 1, 2003",1.3109,1.7789,2.2469
"Dec 1, 2003",1.7851,2.1876,2.5901
"Jan 1, 2004",2.001,2.1469,2.2929
"Feb 1, 2004",1.8883,2.1704,2.4525
"Mar 1, 2004",2.5499,2.8741,3.1984
"Apr 1, 2004",2.2767,2.3521,2.4275
"May 1, 2004",1.9404,2.1105,2.2805
"Jun 1, 2004",1.9697,2.2696,2.5695
"Jul 1, 2004",2.1073,2.3075,2.5078
"Aug 1, 2004",2.0071,2.302,2.5969
"Sep 1, 2004",1.8391,2.1349,2.4306
"Oct 1, 2004",1.8905,2.2339,2.5774
"Nov 1, 2004",1.9979,2.5,3.002
"Dec 1, 2004",2.4201,2.7694,3.1188
"Jan 1, 2005",2.7141,2.8102,2.9063
"Feb 1, 2005",2.2264,2.5513,2.8762
"Mar 1, 2005",2.8351,3.5477,4.2603
"Apr 1, 2005",2.4261,2.9432,3.4603
"May 1, 2005",2.487,2.8794,3.2718
"Jun 1, 2005",2.3748,2.6262,2.8776
"Jul 1, 2005",2.4887,2.7531,3.0175
"Aug 1, 2005",2.605,3.1621,3.7191
"Sep 1, 2005",2.4184,3.0123,3.6061
"Oct 1, 2005",2.8277,3.1024,3.3771
"Nov 1, 2005",2.7722,3.4342,4.0962
"Dec 1, 2005",3.5539,3.6622,3.7704
"Jan 1, 2006",3.5987,3.7729,3.9472
"Feb 1, 2006",3.3179,3.5412,3.7645
"Mar 1, 2006",3.6722,4.0461,4.42
"Apr 1, 2006",3.5663,3.8872,4.208
"May 1, 2006",2.583,2.7772,2.9715
"Jun 1, 2006",2.6043,2.6611,2.7179
"Jul 1, 2006",2.2788,2.4522,2.6255
"Aug 1, 2006",2.8764,3.0804,3.2844
"Sep 1, 2006",2.6052,2.8955,3.1858
"Oct 1, 2006",2.4743,2.8052,3.136
"Nov 1, 2006",2.6022,2.9941,3.386
"Dec 1, 2006",3.0706,3.2361,3.4016
"Jan 1, 2007",3.0591,3.4562,3.4294
